chromosome	block	num_variants	L	time	num_variants_0.95	num_variants_0.5	num_CS95	num_variants_CS95	num_variants_0.95.EUR	num_variants_0.5.EUR	num_CS95.EUR	num_variants_CS95.EUR	num_variants_0.95.EAS	num_variants_0.5.EAS	num_CS95.EAS	num_variants_CS95.EAS
5	177	1208	5	14.8345477581024	0	0	1	8	0	0	1	8	0	0	0	0
5	191	2629	5	158.229908943176	0	0	0	0	0	0	0	0	0	0	0	0
5	198	862	5	4.9486026763916	0	0	1	9	0	0	1	9	0	0	0	0
6	28	911	5	2.61826825141907	0	0	0	0	0	0	0	0	0	0	0	0
6	35	502	5	2.1959273815155	0	0	0	0	0	0	0	0	0	0	0	0
6	54	1488	5	26.6196095943451	0	0	0	0	0	0	0	0	0	0	0	0
6	57	1226	5	6.60564470291138	0	0	0	0	0	0	0	0	0	0	0	0
6	58	2018	5	72.896115064621	0	1	0	0	0	1	0	0	0	0	0	0
6	63	1523	5	31.36683344841	0	0	1	3	0	0	1	3	0	0	1	3
6	71	8269	5	2682.22221231461	0	0	1	65	0	0	1	65	0	0	0	0
6	78	10878	5	6000.08301830292	0	0	1	429	0	0	1	429	0	0	0	0
6	80	7256	5	2353.52220726013	0	0	1	7	0	0	1	7	0	0	0	0
6	81	3966	5	288.28621006012	0	0	1	6	0	0	1	6	0	0	0	0
6	87	3063	5	254.235962867737	0	0	2	108	0	0	2	108	0	0	1	39
6	88	7209	5	2183.36994576454	0	0	0	0	0	0	0	0	0	0	0	0
6	90	320	5	0.334439277648926	0	0	1	49	0	0	1	49	0	0	0	0
6	94	3167	5	250.244539022446	0	0	1	54	0	0	1	54	0	0	0	0
6	97	2344	5	63.9459960460663	0	0	1	8	0	0	1	8	0	0	0	0
6	104	2707	5	163.164258241653	0	0	1	41	0	0	1	41	0	0	1	41
6	106	1457	5	25.3011219501495	0	0	1	26	0	0	1	26	0	0	0	0
6	108	566	5	2.92774057388306	0	0	1	17	0	0	1	17	0	0	1	17
6	112	1642	5	38.6984207630157	0	0	0	0	0	0	0	0	0	0	0	0
6	113	2551	5	138.241054296494	0	0	0	0	0	0	0	0	0	0	0	0
6	115	4768	5	573.318793296814	0	0	0	0	0	0	0	0	0	0	0	0
6	116	2965	5	230.237514019012	0	0	1	49	0	0	1	49	0	0	0	0
6	122	1504	5	31.2572929859161	0	0	1	29	0	0	1	29	0	0	0	0
6	124	2241	5	97.9279379844666	0	0	1	22	0	0	1	22	0	0	0	0
6	144	4196	5	448.232465982437	0	0	1	10	0	0	1	10	0	0	0	0
6	146	831	5	2.51212787628174	0	0	1	14	0	0	1	14	0	0	0	0
