pid	chromosome	block	num_variants	time	num_variants_0.95	num_variants_0.5	num_CS95	num_variants_CS95
european	4	48	2908	3.44954228401184	0	0	0	0
european	4	52	3629	4.4097204208374	0	0	1	330
european	4	54	6810	19.280642747879	0	0	1	6
european	4	63	6716	24.923052072525	0	0	2	162
european	4	64	4817	13.1939759254456	0	0	1	32
european	4	66	2056	2.38202476501465	0	0	1	40
european	4	76	4281	14.1269643306732	0	0	0	0
european	4	77	6720	28.9420518875122	0	0	0	0
european	4	91	1924	1.47020530700684	0	0	1	16
european	4	94	1877	0.906842947006226	0	0	0	0
european	4	97	1805	1.55886840820312	0	1	0	0
european	4	101	4123	14.4043052196503	0	0	0	0
european	4	105	2592	12.2912747859955	0	0	0	0
european	4	114	3499	9.2610125541687	0	0	0	0
european	4	115	1506	1.01903700828552	0	1	1	2
european	4	116	2575	4.25826621055603	0	0	0	0
european	4	117	2957	9.60247683525085	0	1	0	0
european	4	125	914	0.187927961349487	0	0	0	0
european	4	129	3886	11.3163352012634	0	0	1	90
european	4	146	1762	2.76148533821106	0	0	0	0
european	4	150	3369	3.78773021697998	0	0	1	233
european	4	155	2799	3.12651753425598	0	0	0	0
european	4	160	1443	0.568960905075073	0	0	1	70
european	4	162	2305	1.64211440086365	0	0	0	0
european	4	173	2762	6.02311086654663	0	0	1	37
european	4	175	2310	1.73070096969604	0	0	0	0
european	4	178	1268	0.771482229232788	0	0	0	0
european	4	183	5168	16.8291573524475	0	0	1	10
european	4	187	2736	4.60013055801392	0	1	0	0
european	4	199	557	0.118100881576538	0	0	1	15
european	5	17	1747	1.63220238685608	0	0	1	7
european	5	39	2032	1.82421970367432	0	0	1	78
european	5	57	2743	2.04248452186584	0	0	0	0
european	5	61	5309	6.87124252319336	0	0	0	0
european	5	63	7701	37.990748167038	0	0	0	0
european	5	71	4496	14.9702863693237	0	0	0	0
european	5	72	4275	13.9772562980652	0	0	1	16
european	5	74	5535	17.3016929626465	0	0	0	0
european	5	82	1536	1.2551429271698	0	1	0	0
european	5	85	3156	2.1958954334259	0	0	0	0
european	5	102	3291	11.848733663559	0	0	0	0
european	5	103	2202	2.38760495185852	0	0	1	17
european	5	104	2354	2.87136244773865	0	0	1	26
european	5	105	996	0.369442701339722	0	0	1	60
european	5	112	7038	12.5233433246613	0	0	1	205
european	5	114	8435	39.0138394832611	0	0	1	37
european	5	115	755	0.30839991569519	0	0	0	0
european	5	117	2610	2.31372046470642	0	0	1	87
european	5	119	2910	2.1293158531189	0	0	0	0
european	5	127	4425	14.3169467449188	0	0	0	0
european	5	133	1803	3.4117431640625	0	0	0	0
european	5	135	1964	2.48377060890198	0	0	0	0
european	5	144	2972	1.98307371139526	0	0	0	0
european	5	145	3716	8.76533436775208	0	0	2	47
european	5	146	3469	6.84888505935669	0	0	1	218
european	5	152	4439	11.3078079223633	0	0	0	0
european	5	162	4424	29.3271236419678	0	0	2	261
european	5	163	2417	2.92434096336365	0	0	2	196
european	5	166	2413	3.27017140388489	0	0	0	0
european	5	168	2613	1.62246131896973	0	0	1	30
european	5	171	4563	7.13577103614807	0	0	0	0
european	5	177	1510	1.57261610031128	0	0	1	5
european	5	191	3566	5.35279369354248	0	0	0	0
european	5	198	1093	0.639187812805176	0	0	1	9
european	6	28	1166	0.307328939437866	0	0	0	0
european	6	35	821	0.308640003204346	0	0	0	0
european	6	54	2447	11.0030527114868	0	0	0	0
european	6	57	1460	1.36150360107422	0	1	0	0
european	6	58	2580	3.2855908870697	0	0	0	0
european	6	63	1994	2.5836515426635698	0	0	0	0
european	6	71	11188	59.9697177410126	0	0	1	66
european	6	78	13030	87.3720126152039	0	0	1	556
european	6	80	10354	65.5507242679596	0	1	0	0
european	6	81	6155	16.1984615325928	0	0	1	7
european	6	87	3762	14.5112822055817	0	0	2	110
european	6	88	9099	53.4614870548248	0	0	0	0
european	6	90	514	0.0864472389221191	0	0	1	68
european	6	94	4013	6.05390596389771	0	1	1	10
european	6	97	3167	6.08135342597961	0	0	1	41
european	6	104	3639	6.9990816116333	0	0	0	0
european	6	106	1792	1.15272235870361	0	0	1	26
european	6	108	703	0.329847812652588	0	0	1	18
european	6	112	2338	4.24860048294067	0	0	0	0
european	6	113	2934	4.64633893966675	0	0	0	0
european	6	115	6679	22.3956296443939	0	0	0	0
european	6	116	3747	23.5363068580627	0	0	0	0
european	6	122	2068	1.52753186225891	0	0	1	24
european	6	124	3765	4.69771242141724	0	0	0	0
european	6	144	4992	14.92737865448	0	0	1	10
european	6	146	1074	0.407795190811157	0	0	1	12
european	6	149	3714	15.9624712467194	0	0	1	23
european	6	167	2009	3.57397413253784	0	0	1	16
european	6	169	5812	19.9301064014435	0	0	0	0
european	6	173	3087	4.58519220352173	0	0	0	0
european	6	175	1645	1.70715928077698	0	0	0	0
european	6	177	3771	11.5171821117401	0	0	0	0
european	7	5	2747	2.51627063751221	0	0	1	4
european	7	6	1504	1.32177376747131	0	0	2	36
european	7	8	4350	12.303439617157	0	0	0	0
european	7	17	1214	0.928979158401489	0	0	1	21
european	7	19	848	0.157417774200439	0	0	0	0
european	7	37	2671	5.49077486991882	0	1	1	16
european	7	40	4095	9.50018167495728	0	0	1	41
european	7	41	2726	3.82464790344238	0	0	1	31
european	7	66	821	0.165095090866089	0	0	0	0
european	7	67	7239	29.9958391189575	0	0	0	0
european	7	68	2321	1.30288910865784	0	0	0	0
european	7	81	3223	5.46212673187256	0	0	0	0
european	7	83	2428	2.86125922203064	0	0	1	26
european	7	85	3205	9.18100762367249	0	0	1	87
european	7	92	2762	3.46664071083069	0	0	0	0
