pid	chromosome	block	num_variants	L	time	num_variants_0.95	num_variants_0.5	num_CS95	num_variants_CS95
EAS	11	3	1453	5	2.718181848526	0	0	0	0
EAS	11	31	1446	5	2.85573530197144	0	0	0	0
EAS	11	35	1017	5	2.44449210166931	0	0	0	0
EAS	11	48	2148	5	11.196019411087	0	0	0	0
EAS	11	52	1196	5	2.97570133209229	0	0	0	0
EAS	11	53	2542	5	8.24313974380493	0	0	0	0
EAS	11	54	2097	5	9.9430878162384	0	0	0	0
EAS	11	78	1366	5	6.10967183113098	0	0	0	0
EAS	11	79	3451	5	17.4547843933105	0	0	0	0
EAS	11	96	4763	5	25.0894849300385	0	0	0	0
EAS	11	97	1272	5	2.83381319046021	0	0	0	0
EAS	11	117	4272	5	32.3836226463318	0	0	0	0
EAS	11	120	600	5	2.83942794799805	0	0	0	0
EAS	11	124	2248	5	6.87366676330566	0	0	0	0
EAS	11	125	1391	5	4.84428215026855	0	0	0	0
EAS	11	130	938	5	2.09133100509644	0	0	0	0
EAS	11	144	303	5	2.09037399291992	0	0	0	0
EAS	11	145	3131	5	19.4306871891022	0	0	0	0
EAS	11	146	280	5	2.76867008209229	0	0	0	0
EAS	11	148	1105	5	3.57946610450745	0	0	0	0
EAS	11	151	1255	5	3.27635836601257	0	1	0	0
EAS	11	155	1122	5	3.26848816871643	0	0	0	0
EAS	11	159	2266	5	7.47687482833862	0	0	1	39
EAS	11	162	1176	5	4.49595785140991	0	0	0	0
EAS	11	163	342	5	3.54536557197571	0	0	0	0
EAS	11	164	794	5	3.40117263793945	0	0	0	0
EAS	12	6	375	5	2.12153077125549	0	0	0	0
EAS	12	7	928	5	3.07068133354187	0	0	0	0
EAS	12	13	1109	5	5.42658185958862	0	0	0	0
EAS	12	32	1726	5	5.69628000259399	0	0	0	0
EAS	12	33	2021	5	8.57425713539124	0	0	0	0
EAS	12	44	889	5	2.65998888015747	0	0	0	0
EAS	12	52	4205	5	21.4053461551666	0	0	1	14
EAS	12	55	10630	5	152.637635469437	0	0	0	0
EAS	12	63	2436	5	6.68962168693542	0	0	0	0
EAS	12	67	1132	5	3.05625081062317	0	0	0	0
EAS	12	71	2688	5	10.729364156723	0	0	0	0
EAS	12	75	332	5	2.60210347175598	0	0	0	0
EAS	12	77	1420	5	6.16102504730225	0	0	0	0
EAS	12	82	2450	5	10.0350255966187	0	0	0	0
EAS	12	83	5337	5	34.5445795059204	0	0	0	0
EAS	12	87	1186	5	3.48405361175537	0	0	0	0
EAS	12	88	2242	5	8.11986088752747	0	0	0	0
EAS	12	95	4380	5	30.2172479629517	0	0	0	0
EAS	12	97	3698	5	10.0430116653442	0	0	1	3
EAS	12	98	1230	5	3.5594642162323	0	0	0	0
EAS	12	104	2511	5	10.1030859947205	0	0	0	0
EAS	12	109	1014	5	2.58352971076965	0	0	0	0
EAS	12	114	1844	5	4.69442367553711	0	0	0	0
EAS	12	115	1691	5	3.55851340293884	0	0	0	0
EAS	12	119	3948	5	14.3397724628448	0	0	0	0
EAS	12	122	2639	5	7.03964138031006	0	0	0	0
EAS	12	132	1804	5	3.66398787498474	0	0	0	0
EAS	12	136	1825	5	3.6756546497345	0	0	0	0
EAS	12	138	3399	5	14.4895422458649	0	0	0	0
EAS	12	139	4368	5	36.204327583313	0	0	1	181
EAS	12	144	1049	5	2.45335531234741	0	0	0	0
EAS	13	21	2022	5	9.83991551399231	0	0	0	0
