chromosome	block	num_variants	num_variants.EUR	num_variants.AFR	num_variants.EAS	nlog10minP.EUR	nlog10minP.AFR	nlog10minP.EAS
5	114	20747	9397	18456	5433	7.811	3.429	3.502
5	116	8543	3895	7612	2653	5.711	4.087	2.448
5	120	7980	3836	6912	2525	7.325	3.335	2.316
5	127	12618	5530	11027	3422	18.29	5.788	3.398
5	130	8897	4173	7778	2746	4.703	3.725	2.371
5	136	8484	3883	7357	2489	5.657	3.732	3.367
5	142	6063	2788	5302	1516	6.202	4.922	2.268
5	145	10801	4905	9054	2541	6.32	3.586	2.199
5	146	8956	4108	7651	2114	11.28	3.542	2.694
5	147	3430	1747	3099	1157	5.426	3.433	3.114
5	152	10934	4797	9520	3335	6.886	3.753	2.875
5	156	5213	2118	4623	1640	7.631	3.885	2.416
5	158	4491	1968	3998	1297	4.781	3.386	2.283
5	159	874	429	755	242	2.975	4.071	3.32
5	164	4344	2111	3752	1293	8.26	3.651	3.172
5	166	6902	3309	6138	1939	69.13	4.081	3.135
5	167	5576	2437	4985	1337	6.183	3.269	2.429
5	168	6608	3072	5752	1769	20.56	3.28	3.034
5	174	5890	2941	5031	1898	5.575	2.907	2.52
5	177	4598	2409	4059	1260	8.102	2.631	2.556
5	181	1880	978	1689	572	4.737	3.26	3.67
5	182	2477	1204	2176	807	7.595	2.917	1.566
5	191	8856	4312	7961	2518	7.265	3.25	3.422
5	192	986	547	886	393	4.64	2.558	2.373
5	193	1943	956	1752	618	3.713	2.956	1.968
5	194	2415	1211	2199	623	7.025	2.873	2.687
5	202	4511	1875	3853	524	7.56	3.066	3.468
5	205	3220	1486	2851	955	5.589	2.956	3.135
6	3	1120	609	1009	365	4.766	2.331	1.695
6	19	5252	2621	4682	1691	7.96	4.024	3.009
6	21	3889	1776	3499	1274	6.766	2.997	1.827
6	27	3278	1539	2929	1100	6.508	3.413	2.139
6	29	5663	2476	5070	1626	5.403	3.789	2.572
6	32	1573	875	1417	575	4.779	3.616	1.764
6	39	9629	4562	8566	2821	7.19	3.26	3.581
6	43	6123	2932	5398	1686	11.99	4.162	3.57
6	46	455	250	422	173	2.752	3.954	1.644
6	47	7679	3739	6802	2347	4.66	3.224	3.338
6	51	12453	5667	10908	3622	19.26	4.418	3.02
6	52	3982	1798	3585	1151	7.111	4.525	3.241
6	53	3731	1636	3300	982	7.885	3.853	3.419
6	56	3592	1765	3168	963	4.593	3.671	2.693
6	57	3615	1787	3171	1168	5.147	2.918	2.55
6	58	6101	3089	5348	1660	4.311	3.533	4.358
6	60	3378	1692	3033	866	5.858	3.135	4.024
6	63	6064	2663	5211	1509	12.66	3.144	3.387
6	64	643	292	589	128	86.13	2.588	2.613
6	73	912	444	808	297	23.8	3.524	1.865
6	74	3049	1493	2671	923	5.255	3.798	2.068
6	75	866	420	757	307	7.375	2.222	1.807
6	76	11608	4915	10249	3661	5.14	4.022	2.799
6	81	12554	6321	10751	3381	8.427	4.879	2.956
6	88	18778	8269	15916	5034	5.621	5.031	2.944
6	94	9107	4181	7842	2667	4.538	2.777	3.505
6	97	5714	2713	5003	1728	7.794	3.198	2.673
6	98	7473	3389	6431	2012	6.245	3.66	2.515
6	99	7787	3652	6753	2174	4.112	3.764	2.804
6	100	92	66	73	37	6.368	1.338	1.199
6	105	5680	2838	5044	1883	9.52	3.183	2.695
6	106	4839	2228	4207	1723	7.829	3.405	3.065
6	108	1911	883	1674	542	2.692	3.446	2.015
6	109	5450	2373	4825	1658	13.07	3.489	2.482
