chromosome	block	num_variants	num_variants.EUR	num_variants.AFR	num_variants.EAS	nlog10minP.EUR	nlog10minP.AFR	nlog10minP.EAS
6	88	18856	8297	15999	5059	5.404	3.059	3.333
6	100	92	66	74	37	8.527	2.719	0.9202
6	101	6445	3046	5427	2058	5.889	3.696	4.947
6	105	5694	2840	5063	1901	5.497	3.028	2.51
6	106	4848	2234	4217	1726	3.877	3.829	3.87
6	109	5459	2379	4835	1662	6.379	4.116	2.056
6	115	14201	6242	12197	3781	15.79	3.414	2.227
6	117	11924	5305	10303	4080	3.663	4.283	2.474
6	124	9551	4273	8229	1893	12.5	3.38	2.345
6	127	4581	2166	4140	1192	10.09	3.685	2.811
6	128	6604	2946	5865	1930	4.516	3.644	2.376
6	134	4606	2033	4084	1270	9.53	4.485	4.733
6	136	2899	1154	2567	888	4.6	3.098	3.15
6	140	3907	1868	3506	1330	4.367	3.659	2.287
6	154	4310	2078	3903	1536	6.526	4.096	2.568
6	158	5155	2352	4514	1566	3.815	3.074	2.162
6	160	6330	2990	5628	2009	4.43	3.972	2.684
6	168	7866	3738	6860	2061	4.454	3.994	3.288
6	169	12981	5975	11513	3480	106.8	4.155	3.249
6	170	2444	1166	2171	708	3.133	3.632	2.298
6	180	712	343	642	246	2.426	2.326	1.13
6	183	3581	1537	3292	615	3.933	2.615	1.867
6	187	4077	1896	3719	1325	3.677	3.619	4.157
7	3	5292	2264	4576	862	8.257	3.702	2.688
7	5	8557	3856	7295	1742	4.65	2.912	1.614
7	6	4334	2111	3813	730	4.586	3.23	1.98
7	11	5655	2673	4977	628	4.959	2.991	2.648
7	12	9999	4760	8755	2161	7.428	3.909	2.613
7	13	3942	1867	3555	886	3.493	2.693	3.116
7	33	8323	4014	7276	2438	3.139	3.231	2.722
7	37	6570	3477	5774	2313	29.6	3.807	4.162
7	41	6097	3054	5445	1873	4.005	3.102	2.475
7	42	6185	3110	5383	2010	16.72	3.189	3.747
7	44	1264	579	1131	368	6.486	2.233	1.865
7	50	4335	2109	3872	1096	7.798	3.617	2.174
7	58	6115	3096	5367	1729	11.21	2.963	2.645
7	66	2748	1416	2336	758	4.474	3.141	2.307
7	67	16354	7625	14085	4235	41.69	4.378	2.531
7	74	2807	1376	2473	922	2.716	2.325	2.493
