chromosome	block	num_variants	num_variants.EUR	num_variants.AFR	num_variants.EAS	nlog10minP.EUR	nlog10minP.AFR	nlog10minP.EAS
7	85	8555	3584	7211	1590	7.378	3.159	3.956
7	87	872	391	684	78	5.863	2.447	1.046
7	88	9942	4087	8793	2339	7.133	3.796	3.124
7	89	5018	2633	4394	1754	3.648	4.807	2.851
7	95	3841	1994	3326	1266	8.293	3.566	2.287
7	99	9887	4196	8667	2436	8.329	3.142	2.959
7	103	5099	2507	4213	1308	6.436	3.433	1.689
7	107	11927	5774	10345	3181	3.784	4.129	2.333
7	109	5442	2335	4765	1375	6.275	2.759	2.656
7	111	9755	4111	8178	2041	14.4	3.468	2.216
7	112	4118	1906	3705	1125	4.388	3.09	2.927
7	113	7902	3340	6992	2109	5.098	3.737	3.512
7	119	4375	2209	3681	1108	2.909	3.823	1.884
7	125	7475	3453	6409	1402	5.251	4.067	2.087
7	127	2089	1023	1724	390	3.987	3.543	1.372
7	131	13363	6168	11394	3434	5.245	4.278	3.112
7	132	14237	6105	12436	3768	4.399	3.137	3.395
7	133	12772	6081	11115	2953	7.368	5.268	2.362
7	134	3588	1886	3203	903	3.839	3.448	2.589
7	138	9281	4244	7987	2652	5.676	3.037	2.845
7	139	1909	985	1613	492	4.255	3.456	1.982
7	140	4424	2339	3837	1389	4.254	2.843	3.713
7	141	9398	4538	8231	2372	3.892	3.021	2.838
7	142	1701	829	1521	347	4.385	2.896	3.425
7	147	3005	1416	2679	734	3.602	4.391	2.637
7	152	3339	1379	2992	641	3.679	3.346	1.975
7	159	3199	1551	2901	828	6.302	2.678	2.094
7	162	12355	5422	10942	2861	6.539	4.275	3.358
7	176	1233	712	1099	311	4.514	2.896	2.674
7	177	1960	1027	1760	247	2.792	2.742	2.242
7	187	9907	3964	8691	2802	4.773	2.849	2.225
8	17	6182	2977	5543	1401	9.265	4.212	2.779
8	29	10689	5389	9760	3527	19.53	3.64	2.786
8	32	7417	3735	6681	1827	6.831	2.841	2.517
8	36	2077	1028	1826	494	5.279	2.945	3.426
8	39	4625	2372	4006	1443	6.956	2.763	2.974
8	41	4278	1990	3730	1058	4.902	3.631	3.445
8	42	7578	3953	6683	2160	4.33	6.296	2.665
8	43	7171	3499	6262	1993	5.644	3.176	3.264
8	44	2314	1215	2012	667	3.73	3.765	2.106
8	45	4927	2267	4330	1165	6.533	3.48	1.44
8	57	3963	1899	3523	1013	3.246	3.511	2.081
8	59	3555	1677	3094	813	9.964	2.968	2.332
