pheno	chromosome	block	num_variants_0.9.UKBB.EUR	num_variants_0.9.UKBB_0.1.GLGC.EUR	num_variants_0.9.UKBB.AFR	num_variants_0.9.UKBB_0.1.GLGC.AFR	num_variants_0.9.UKBB.EAS	num_variants_0.9.UKBB_0.1.GLGC.EAS
TC	9	70	0	0	0	0	0	0
TC	9	72	0	0	0	0	0	0
TC	9	73	0	0	0	0	0	0
TC	9	89	0	0	0	0	0	0
TC	9	93	0	0	0	0	0	0
TC	9	99	0	0	0	0	0	0
TC	9	100	0	0	0	0	0	0
TC	9	102	0	0	0	0	0	0
TC	9	103	0	0	0	0	0	0
TC	9	104	0	0	0	0	0	0
TC	9	105	0	0	0	0	0	0
TC	9	106	0	0	0	0	0	0
TC	9	107	0	0	0	0	0	0
TC	9	109	0	0	0	0	0	0
TC	9	110	2	0	0	0	0	0
TC	9	111	0	0	0	0	0	0
TC	9	112	0	0	0	0	0	0
TC	9	113	0	0	0	0	0	0
TC	9	114	0	0	0	0	0	0
TC	9	115	0	0	0	0	0	0
TC	9	116	0	0	0	0	0	0
TC	9	118	0	0	0	0	0	0
TC	9	119	0	0	0	0	0	0
TC	9	121	0	0	0	0	0	0
TC	9	124	0	0	0	0	0	0
TC	9	125	0	0	0	0	0	0
TC	9	134	0	0	0	0	0	0
TC	9	140	0	0	0	0	0	0
TC	9	142	0	0	0	0	0	0
TC	9	144	0	0	0	0	0	0
TC	9	145	0	0	0	0	0	0
TC	9	149	0	0	0	0	0	0
TC	9	153	0	0	0	0	0	0
TC	9	160	0	0	0	0	0	0
TC	9	161	0	0	0	0	0	0
TC	10	13	0	0	0	0	0	0
TC	10	22	0	0	0	0	0	0
TC	10	43	0	0	0	0	0	0
TC	10	44	0	0	0	0	0	0
TC	10	46	0	0	0	0	0	0
TC	10	52	0	0	0	0	0	0
TC	10	53	0	0	0	0	0	0
TC	10	58	0	0	0	0	0	0
TC	10	59	0	0	0	0	0	0
TC	10	67	0	0	0	0	0	0
TC	10	69	0	0	0	0	0	0
TC	10	70	0	0	0	0	0	0
TC	10	73	0	0	0	0	0	0
TC	10	77	0	0	0	0	0	0
TC	10	80	0	0	0	0	0	0
TC	10	81	0	0	0	0	0	0
TC	10	84	0	0	0	0	0	0
TC	10	85	0	0	0	0	0	0
TC	10	92	0	0	0	0	0	0
TC	10	100	0	0	0	0	0	0
TC	10	101	0	0	0	0	0	0
TC	10	109	0	0	0	0	0	0
TC	10	110	0	0	0	0	0	0
TC	10	112	0	0	0	0	0	0
TC	10	113	0	0	0	0	0	0
TC	10	117	0	0	0	0	0	0
TC	10	120	0	0	0	0	0	0
TC	10	121	0	0	0	0	0	0
TC	10	123	0	0	0	0	0	0
TC	10	126	0	0	0	0	0	0
TC	10	127	0	0	0	0	0	0
TC	10	129	0	0	0	0	0	0
TC	10	130	0	0	0	0	0	0
TC	10	131	0	0	0	0	0	0
TC	10	137	0	0	0	0	0	0
TC	10	138	0	0	0	0	0	0
TC	10	140	0	0	0	0	0	0
TC	10	144	0	0	0	0	0	0
TC	10	150	0	0	0	0	0	0
TC	10	152	0	0	0	0	0	0
TC	10	154	0	0	0	0	0	0
TC	10	176	0	0	0	0	0	0
TC	10	177	0	0	0	0	0	0
TC	11	2	0	0	0	0	0	0
TC	11	3	0	0	0	0	0	0
TC	11	4	0	0	0	0	0	0
TC	11	7	0	0	0	0	0	0
TC	11	11	0	0	0	0	0	0
TC	11	12	0	0	0	0	0	0
TC	11	22	0	0	0	0	0	0
TC	11	28	0	0	0	0	0	0
TC	11	30	0	0	0	0	0	0
TC	11	31	0	0	0	0	0	0
TC	11	33	0	0	0	0	0	0
TC	11	56	0	0	0	0	0	0
TC	11	57	0	0	0	0	0	0
TC	11	75	0	0	0	0	0	0
TC	11	76	0	0	0	0	0	0
TC	11	78	0	0	0	0	0	0
TC	11	79	0	0	0	0	0	0
TC	11	80	0	0	0	0	0	0
TC	11	81	0	0	0	0	0	0
TC	11	82	0	0	0	0	0	0
TC	11	86	0	0	0	0	0	0
TC	11	88	0	0	0	0	0	0
TC	11	90	0	0	0	0	0	0
TC	11	107	0	0	0	0	0	0
TC	11	108	0	0	0	0	0	0
TC	11	117	0	0	0	0	0	0
TC	11	121	0	0	0	0	0	0
TC	11	125	0	0	0	0	0	0
TC	11	128	0	0	0	0	0	0
TC	11	129	0	0	0	0	0	0
TC	11	133	0	0	0	0	0	0
TC	11	140	0	0	0	0	0	0
TC	11	142	0	0	0	0	0	0
TC	11	147	0	0	0	0	0	0
TC	11	163	0	0	0	0	0	0
TC	12	1	0	0	0	0	0	0
TC	12	12	1	0	0	0	0	0
TC	12	13	0	0	0	0	0	0
TC	12	17	0	0	0	0	0	0
TC	12	18	0	0	0	0	0	0
TC	12	23	0	0	0	0	0	0
TC	12	26	0	0	0	0	0	0
TC	12	27	0	0	0	0	0	0
TC	12	29	0	0	0	0	0	0
TC	12	42	0	0	0	0	0	0
TC	12	45	0	0	0	0	0	0
TC	12	47	0	0	0	0	0	0
TC	12	48	0	0	0	0	0	0
TC	12	49	0	0	0	0	0	0
TC	12	51	0	0	0	0	0	0
TC	12	52	0	0	0	0	0	0
