pid	chromosome	block	num_variants	max_PSRF	mcmc_n	time	lambda	h2_est	h2_mean	h2_sd	h2_beta_mean	h2_beta_sd	num_variants_0.95	num_variants_0.5	num_CS95	num_variants_CS95
EAS	1	187	2083	1.0023157574950619	5500	342.729060411453	0.0020269737975519677	6.123307899363245e-5	5.9977294269034174e-5	1.8443972687323586e-5	5.208782136825585e-5	3.474551530094871e-5	0	0	0	0
EAS	1	188	3098	1.007144058454685	5500	1058.73954153061	0.002376576977493761	5.190201517377493e-4	5.280248813911015e-4	1.292762443359168e-4	5.641413850907597e-4	2.4361430016281405e-4	0	0	0	0
EAS	1	192	2704	1.0024000327479374	5500	556.738278150558	0.002090102802485651	1.2982443745095326e-4	1.3276913384868802e-4	3.526903038796137e-5	1.3930398669777556e-4	9.27413620426625e-5	0	0	0	0
EAS	1	198	5912	1.002997163893315	5500	3109.78551959991	0.07887101458144574	3.4763824227333594e-4	3.5330374329544425e-4	6.253463819656402e-5	3.648327017784519e-4	1.511180317065324e-4	0	0	0	0
EAS	1	201	2148	1.002240455951036	5500	377.061847448349	0.0013811236148790326	1.3516767987288992e-4	1.3856748358361554e-4	4.174293267769259e-5	1.4776833773262653e-4	9.991724619804388e-5	0	0	0	0
EAS	1	204	1784	1.0031197342871385	5500	240.675768375397	0.001893587768390161	1.1622922338404856e-4	1.1842590387813565e-4	3.957514013071797e-5	1.1599435906881998e-4	8.211589247655782e-5	0	0	0	0
EAS	1	213	1032	1.0018571457018448	5500	89.8410830497742	0.0018593459784133778	4.240241584405978e-5	4.108100253719689e-5	1.8022103859123173e-5	3.3761263696131294e-5	3.147349461389971e-5	0	0	0	0
EAS	1	216	2104	1.0020283194390636	5500	350.40976524353	0.08339096161207604	1.3285771446483265e-4	1.3492711351096307e-4	4.0058316881104454e-5	1.4432707483393243e-4	9.624343229831991e-5	0	0	0	0
EAS	1	226	711	1.0020035751278584	5500	20.6794474124908	0.0024098521736192844	3.032405246000281e-5	3.0012594599520438e-5	1.584412958568784e-5	2.705623192003198e-5	2.8078855461698815e-5	0	0	0	0
EAS	1	232	2612	1.002206654363152	5500	531.527027368546	0.0019753380210581167	5.916329790533625e-5	5.8969012275506015e-5	1.6051415596551455e-5	5.515490048122813e-5	3.5328580524724115e-5	0	0	0	0
EAS	1	239	1141	1.0029715231503673	5500	101.145333528519	0.001594335706430067	1.109424396414356e-4	1.148434125260646e-4	4.638334272862345e-5	1.1594682147007708e-4	8.842857226722441e-5	0	0	0	0
EAS	1	240	5505	1.0031491547005644	5500	2539.22303104401	0.19244300857154428	1.0585217965912765e-4	1.0585439329508097e-4	2.000914678859926e-5	1.1138926233727336e-4	5.5539259933295785e-5	0	0	0	0
EAS	1	243	1190	1.0022085615934146	5500	102.921120643616	0.13565388723621097	1.2829214966588492e-4	1.3104686853942897e-4	5.3692378245181514e-5	1.2034846775014478e-4	9.240902965028443e-5	0	0	0	0
EAS	1	252	835	1.0015668168724703	5500	48.4384038448334	0.0020068806080500686	1.0280478968743078e-5	1.0252838718751822e-5	5.016264830727532e-6	9.283786887653958e-6	1.0254488946220213e-5	0	0	0	0
EAS	1	262	1877	1.0032146190403706	5500	228.938970327377	0.23431163636983987	1.054705603658934e-4	1.0614191901225598e-4	3.40487827163248e-5	1.0391464462352476e-4	6.878558196752704e-5	0	0	0	0
EAS	1	263	1738	1.002408681116433	5500	227.359429359436	0.001605183641872465	5.22909566439477e-5	5.145213166637537e-5	1.7093023135199696e-5	4.57748311493606e-5	3.4724931571276406e-5	0	0	0	0
EAS	1	274	2356	1.0032549909849788	5500	456.912130117416	0.6256069353739888	3.6348983161004357e-4	3.794394391577334e-4	1.0555550313272933e-4	4.0533341313329246e-4	2.101441192232058e-4	0	0	0	0
EAS	2	4	908	1.001993505599223	5500	57.5334768295288	9.477954097122666e-4	4.4606455848007636e-5	4.353777793399718e-5	2.044417863506665e-5	3.5496334097437995e-5	3.150212236822362e-5	0	0	0	0
