chromosome	block	num_variants	num_variants.EUR	num_variants.EAS	minP.EUR	minP.EAS
14	26	1050	894	744	1.046e-6	0.001124
14	29	914	867	550	4.014e-6	0.006983
14	31	3897	3541	2927	1.12e-6	0.03455
14	40	5854	5351	4260	1.975e-6	9.476e-4
14	44	2080	1891	1736	3.05e-8	4.33e-4
14	51	3146	2701	2273	1.363e-6	0.001125
14	57	5971	5097	4457	2.334e-7	1.764e-4
14	65	3541	3181	2647	3.319e-6	0.00104
14	68	2494	2239	1570	3.986e-7	0.01393
14	70	3343	3091	2828	3.875e-14	1.008e-4
14	73	1684	1452	1371	9.914e-6	0.009005
14	76	1955	1791	1560	9.847e-6	0.009876
14	90	3568	3309	2471	1.254e-6	6.179e-4
14	94	1838	1467	1514	5.591e-6	0.01445
14	120	930	864	655	2.212e-9	0.02626
14	127	2454	2211	1984	3.01e-13	1.032e-4
15	13	778	726	508	2.853e-6	0.001148
15	27	1448	1319	1064	1.279e-10	0.005717
15	31	4545	4222	3468	8.354e-6	3.134e-4
15	36	78	67	65	3.944e-6	0.1809
15	37	3120	2826	2464	1.007e-10	7.992e-4
15	38	4877	3094	3886	8.403e-10	1.256e-5
15	44	2042	1567	1729	1.616e-6	0.007361
15	45	7116	5767	5627	1.438e-6	0.002679
15	47	2478	1841	2130	9.57e-6	4.187e-4
15	54	1810	1542	1550	4.892e-7	0.005964
15	59	3848	3433	3086	2.211e-13	5.286e-5
15	66	2998	2550	2649	3.206e-6	0.001301
15	72	1013	1005	747	1.768e-6	0.001276
15	75	14238	12043	11429	1.125e-15	7.05e-5
15	76	5552	4647	4562	1.272e-6	0.002788
15	78	13399	12318	10537	7.581e-12	2.587e-4
15	79	2756	2259	2189	1.978e-6	0.005723
15	82	1520	1443	1248	5.442e-8	8.47e-5
15	86	1735	1563	1015	2.794e-21	2.136e-4
15	90	1928	1789	1355	6.595e-6	8.929e-4
15	102	2013	1725	1686	8.711e-6	5.261e-5
15	107	1038	966	744	7.545e-6	0.001807
16	9	1970	1875	1329	7.476e-7	0.001231
16	17	911	778	774	1.483e-6	0.002439
16	18	2682	2380	2293	7.401e-8	9.946e-4
16	19	2565	2389	2108	3.754e-7	3.946e-4
16	21	2046	1796	1476	3.225e-7	0.00549
16	26	2445	2380	1729	3.324e-10	8.174e-4
16	36	2764	2634	2128	5.693e-11	0.00124
16	41	2219	2075	1766	4.2e-6	0.0206
16	47	1496	1483	1087	1.229e-6	0.001006
16	59	1259	1218	759	1.576e-14	0.002002
16	63	2345	1997	1787	2.716e-6	0.01455
16	79	1837	1547	1634	3.005e-8	0.01729
16	84	892	799	741	1.32e-7	0.02139
16	85	4919	4643	3631	3.155e-6	2.446e-6
16	88	4433	4110	3124	9.309e-7	8.542e-6
16	89	5761	4990	4363	6.834e-8	8.994e-6
16	106	2474	2149	2076	7.983e-8	0.0026
16	128	4130	3168	3038	5.77e-9	2.061e-4
17	7	1019	952	672	7.881e-7	5.268e-6
17	9	2673	2551	2024	5.125e-8	2.658e-4
17	17	3233	2870	2514	2.858e-7	0.005865
17	40	2057	1669	1582	5.48e-10	0.001362
17	51	4267	3738	3108	6.663e-7	0.01239
17	53	3537	2482	2732	1.992e-9	5.54e-5
17	55	4323	4197	3300	5.703e-7	9.291e-4
17	56	1888	1803	1086	3.911e-6	0.01498
17	66	370	351	166	4.422e-6	0.00317
17	71	1820	1816	1363	4.371e-6	3.925e-4
17	74	6058	5768	2435	2.578e-11	7.325e-4
17	75	4205	3788	3358	9.458e-6	2.715e-4
17	88	909	877	597	5.651e-7	6.995e-5
17	90	3839	3355	3018	3.255e-6	0.002465
17	94	1958	1877	1356	1.242e-6	1.054e-4
17	99	330	303	153	2.116e-6	3.471e-4
17	100	1794	1624	1374	1.109e-4	5.92e-6
17	118	1749	1546	1270	2.664e-6	0.001294
17	130	1810	1775	1283	5.418e-7	0.0142
17	132	939	898	588	3.962e-6	0.002952
18	16	1181	1010	915	1.24e-6	0.002755
18	23	679	636	567	5.254e-6	0.002959
18	46	2352	2153	1805	3.768e-6	5.083e-4
18	49	3935	3888	3194	4.4e-6	8.683e-4
18	50	3506	3199	2957	1.594e-8	1.343e-4
